site,block,id.plot,species,height_growth,transmitted_light,ground_vegetation_treatment,dds,year,time_interval
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Larix.decidua,0.008571429,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Pinus.uncinata,0,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Pinus.uncinata,0,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Abies.alba,-0.005714286,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Pinus.uncinata,0.005714286,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Quercus.petraea,0.014285714,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Pinus.uncinata,-0.014285714,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Quercus.petraea,-0.005555556,47.035,V,1007.022694,2009,90
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Abies.alba,-0.005555556,47.035,V,1007.022694,2009,90
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Quercus.petraea,0.171428571,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Pinus.uncinata,0,47.035,V,1007.022694,2009,35
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Pinus.uncinata,0,47.035,V,704.9116746,2010,46
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Abies.alba,0.013157895,47.035,V,704.9116746,2010,76
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Pinus.uncinata,0.010869565,47.035,V,704.9116746,2010,46
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Quercus.petraea,0.006578947,47.035,V,704.9116746,2010,76
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Abies.alba,0.010869565,47.035,V,704.9116746,2010,46
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Pinus.uncinata,0,47.035,V,704.9116746,2010,46
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Quercus.petraea,0.013157895,47.035,V,704.9116746,2010,76
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Abies.alba,-0.010869565,47.035,V,704.9116746,2010,46
Bachat_Bouloud,2,Bachat_Bouloud 2 V,Quercus.petraea,0,47.035,V,704.9116746,2010,76
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Abies.alba,-0.008571429,18.19,NV,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Quercus.petraea,0.2,18.19,NV,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Abies.alba,0,18.19,NV,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Abies.alba,0.014285714,18.19,NV,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Abies.alba,0.014285714,18.19,NV,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Abies.alba,0,18.19,NV,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Quercus.petraea,0.114285714,18.19,NV,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Abies.alba,-0.002857143,18.19,NV,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Pinus.uncinata,0,18.19,NV,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Quercus.petraea,0.128571429,18.19,NV,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Fagus.sylvatica,0.057142857,18.19,NV,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Abies.alba,0,18.19,NV,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Abies.alba,-0.005714286,18.19,NV,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Quercus.petraea,0.191428571,18.19,NV,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Quercus.petraea,0,18.19,NV,704.9116746,2010,76
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Larix.decidua,-0.02173913,18.19,NV,704.9116746,2010,46
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Quercus.petraea,0,18.19,NV,704.9116746,2010,76
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Abies.alba,0,18.19,NV,704.9116746,2010,76
Bachat_Bouloud,3,Bachat_Bouloud 3 NV,Pinus.uncinata,-0.006578947,18.19,NV,704.9116746,2010,76
Bachat_Bouloud,3,Bachat_Bouloud 3 V,Quercus.petraea,0.011111111,24.2675,V,1007.022694,2009,90
Bachat_Bouloud,3,Bachat_Bouloud 3 V,Abies.alba,-0.014285714,24.2675,V,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 V,Fagus.sylvatica,0.014285714,24.2675,V,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 V,Abies.alba,-0.005714286,24.2675,V,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 V,Fagus.sylvatica,0.014285714,24.2675,V,1007.022694,2009,35
Bachat_Bouloud,3,Bachat_Bouloud 3 V,Abies.alba,0.014285714,24.2675,V,1007.022694,2009,35
